Title,Author,Date,Number of Responses,Content
Your advice - Appointing an attorney,TamsinT,2024-06-05T15:16:36+0100,0,"Do you have any tips for other people with dementia about deciding who to appoint as an attorney through an LPA or similar legal document? 

Perhaps they’re wondering whether the people they have in mind will be able to agree with other, or they might be unsure about how to ask a friend or relative about being appointed as their attorney. 

Maybe they can’t think of anyone suitable at all. 

We’d love to share your advice with readers of our magazine, Dementia together – please email magazine@alzheimers.org.uk or add your tips below before 27 June."
Webinars delivered by people living with dementia,HarrietD,2024-01-11T12:11:28+0000,0,"Hi everyone,

We wanted to let you know that the brilliant 3 Nations Dementia Working Group regularly produce a series of webinars on all kinds of topics. They're all planned and delivered by people living with dementia.

You can access them here. They post recordings up fairly soon if you miss any.

They're usually chaired by Nigel Hullah, who was diagnosed with early onset dementia in 2013. 

We hope you find them helpful and inspiring"
Hints and Tips,Pejic,2022-08-18T18:17:16+0100,0,"Any chance of making this a sticky thread, we can post to with things which we think might help others fighting the fight?"
The dementia guide: for people dealing with a recent diagnosis,HarrietD,2021-05-05T13:30:02+0100,0,"Have you recently been diagnosed with dementia?

If so, The dementia guide: Living well after your diagnosis is written specifically for you. It has information about treatments, support and services available. It also has tips and advice on living as well as possible with dementia and planning for the future.

The latest edition of The dementia guide has new information on planning hospital stays, accessing care, your rights at work, and the different types of support services that are available to you. People with dementia and dementia professionals have been involved throughout the guide’s development.

There are many ways to access the guide. You can:

Read it online: https://www.alzheimers.org.uk/sites/default/files/2020-03/the_dementia_guide_872.pdf

Order a print copy: https://www.alzheimers.org.uk/form/order-dementia-guide

Get it in different languages, or audio and video formats: https://www.alzheimers.org.uk/publications-about-dementia/the-dementia-guide

If you have any feedback or questions about the guide, you can email publications@alzheimers.org.uk"
You guys sometimes goof up too?,MatthewB,2024-04-05T13:17:54+0100,0,Maybe just take some time to remember how to do this internet one? I'm goof up that put the headlight in my life wife car and was take too long is then make her late to do that appointment. Kind of sad when can't do so many thing I'm used to do always so good I'm feel like I'm not sure maybe useless the right word just take up space I don't want to be this way I don't know why I can't keep straight the way to do thing or remember where I am put my tools I probably shouldn't be saying all this stuff do you guys but I don't know it's just sad only word I can know to say sorry I don't want to bring other people down just get sad and the night time whenever everyone is sleeping and it's just me thinking anyway this is Matt hope is good with you guys God bless you this is Matt
I don’t know how to handle this,Nobo2,2024-06-13T22:41:06+0100,0,"Hi everyone, it’s been just over a year since I last posted about my wife not recognising me at times. So now we have progressed to the point where it can be all day , morning, evening, bits in between every permutation. That in itself is confusing because I do not know at any time who she is seeing me as `husband, Friend, another man. Somebody else impossible to know, so I just carry on as normal.
my biggest dilemma is at night when she doesn’t know who I am, for example she thinks I am the friend and I can go home anytime I don’t have to wait for her husband to arrive. However, what do I do I don’t have anywhere to go and I’ve no way of knowing what she will do if I try to persuade her that I am her husband. 
we live in a flat so it’s not possible to go into another room and reappear as Me husband.
Has anyone else had this if so any pointers on what to do. Please"
Incontinence issues,Sam50,2024-06-10T13:26:00+0100,0,"Hi everyone, I am a 50 yr old man with early onset dementia - diagnosed 2 years ago and am now having problems with bladder control. Started with just leaks, but more and more am finding I am losing control and seriously wetting myself. It is very embarrassing. I am alsp wetting my bed now. I have just bought some pull ups and hope that these will help. I thought this was going to happen later, not so soon. Is anyone else have this problem and do you have any advice? Feeling quite down. Thanks. Sam"
Getting used to dentures,Sam50,2024-06-11T11:36:00+0100,0,Hi it’s Sam. I had my last teeth out some time last yer and got dentures at too and bottom. I am still finding eating and talk difficult snd keeping lower one in. I prefer not wesring at home only when out. I am trying but as my dementia gets worse i am not sure i will want to wear them and i know will cause problems.  Not sure if anyone here has dentures and if they find problems. Any suggetion welcome.
Always tired,Sailor Tom,2024-04-06T18:37:22+0100,0,"Is anyone always tired. Ever since I have been living with dementia i feel like i have been tired.  I can have a good night's sleep but by mid day i have go back to bed and sleep for at least 2 hours,  sometimes 4 hours. 

Tom"
Diagnosis how did you deal with it?,vas,2024-02-02T18:42:41+0000,0,"Before Christmas after a scan to check on a presumed stroke I was told verbally by a visitor from the old folks mental heath office that I had Altzhiemers and vascular dementia. I had no consultant letter or face to face appointment. This year I was told I didn't have Altzhiemers. I asked for a letter with the diagnosis. Now this week during a telecon with the consultant I was informed I a had Altzhiemers together with vascular dementia. I was also told Altzhiemers could only be confirmed with a brain biopsy, which obviously, could only happen when the patient is dead.
It was a most unpleasant phone call.
I also found this afternoon my doctor had been informed of the disgnosis the information was shared with my husband without my permission. Its as if, because of the diagnosis, I am no longer a person with rights. No wonder sufferers can get angry.
I think the way both patients and carers are treated is disgraceful."
Early onset Dementia and Pacemaker replacement. I don’t want to do it.,bunnylovevol,2024-04-19T23:54:26+0100,0,"Hello, I am a 60-year-old female who has had a pacemaker for the past 15 years. I just got newly diagnosed with some form of dementia, my guess vascular. I live alone, I have no children, however, I do have older siblings, nieces, and nephews, etc. I was just given this diagnosis recently and also I’m at the point that I have to have my pacemaker battery changed out. I don’t want to do it! I don’t want to live the next 5 to 8 years with dementia, the drain on my family, and the medical system, and on myself. Has anyone else ever run into this situation with a young family member? I would rather live the last couple months of my life, happy and doing things I would like to do and let the pacemaker battery life run out. I’m not asking if whether I should do it or not, I’m just asking if anybody else has had family members go through this? How did you as a family emotionally handle it? How did the person affected with dementia in the early stages handle it? I have to let my doctor know soon. I was scheduled for the procedure before I found out about the new diagnosis of dementia.  

Thank you."
